scientist_id,name
A5023609071,J. Kroll
A5012652688,Nicholas G. Martin
A5018432815,Wang Jing
A5028085268,Ignacio I. Wistuba
A5066919651,David Lester
A5100345666,Yu Liu
A5110680814,Axel M. Gressner
A5100727879,Ajay Singh
A5037436415,C. Dallapiccola
A5040977229,Chi‐Ming Che
A5035013697,Claudiu T. Supuran
A5106552509,C. Sciacca
A5109917709,Steven D. Waldman
A5056439503,Peter Stiefelhagen
A5100629817,M. Martı́nez
A5030280190,Frank R. Fronczek
A5044633009,C. M. Hawkes
A5039753830,김영수
A5106499574,K. Satô
A5021241280,Jonathan Pevsner
A5056674149,H.-O. Kalinowski
A5108073107,이정훈
A5085369757,Joel T. Mague
A5106225322,S. Malik
A5068730007,Tasawar Hayat
A5055164988,Zhang Min
A5012756209,Konstantin А. Lyssenko
A5111382954,Gu
A5000046286,Winfried März
A5108039384,S. A. Çetin
A5006906048,Stefan R. Bornstein
A5027189790,Atsuhiro Osuka
A5042178740,K. N. Houk
A5007925027,A. Cerri
A5083991449,Walter C. Willett
A5088028306,Harlan M. Krumholz
A5001712629,F. Albert Cotton
A5108127179,■ Xiang
A5080515342,Bo Wang
A5046629853,Gregg W. Stone
A5066458110,김진수
A5083713529,P. A. Evans
A5098794221,Zachary Lewis
A5031601763,Lawrence H. Price
A5106974091,J. Ocariz
A5100410352,Hong Liu
A5016202220,C. Tully
A5108337100,A. Mehta
A5031846245,P. Elmer
A5081574853,김은정
A5089297467,Reinhard Dummer
A5073522064,Giuseppe Lippi
A5113451353,Zhao
A5000439325,Tae Hyong Kim
A5102719307,Richard White
A5056109933,D. Blöch
A5107061555,A. Ivanov
A5044298471,Kari Rissanen
A5003010065,Massimo Filippi
A5077506130,Edward Miguel
A5100683988,R. W. L. Jones
A5106382331,M. Gallinaro
A5107678348,P. Kyberd
A5109833529,Jing
A5008512619,학회자료
A5106511527,A. Warburton
A5090227372,M. Franklin
A5100410082,Jian Zhang
A5063667378,Zhu Han
A5106580283,J. Nash
A5078357579,MARY ELLEN SCHNEIDER
A5090970652,Jin‐Young Kim
A5002177924,B. Blumenfeld
A5010647553,William Chrisler
A5080385726,Alison Knopf
A5085403239,Qiang Wang
A5017177249,Michael Weller
A5025944326,Mat­thias Zeller
A5005228083,Christodoulos Stefanadis
A5100601229,S. Tosi
A5072449178,V. Bhatnagar
A5019555383,Christopher J. McDougle
A5100408669,Hua Zhang
A5100456227,Yan Zhang
A5031550729,Alberto Briganti
A5078048335,R. Lipton
A5035224025,Yoshiyuki Kawazoe
A5034756933,W.-H. Yao L. Min
A5040188499,S. Giagu
A5007949292,P. K. Behera
A5109813486,Zhou
A5086816309,J. Reedijk
A5100382429,Wang Li
A5100457678,Zhe Chen
A5072097825,Kläus Müllen
A5028679667,Hisashi Yamamoto
A5076827562,F. Filthaut
A5042511375,Bryan Killinger
A5044555614,Mark Lautens
A5023958825,Kazuaki Chayama
A5049875695,M. Erdmann
A5100383910,J. Jack Lee
A5056536713,Samuel Johnson
A5016139987,Roxana Mehran
A5085434984,Jens J. Holst
A5084778818,张磊
A5056193352,A. Dominguez
A5038373228,Edward L. Giovannucci
A5051644359,John‐John B. Schnog
A5011912289,優 佐藤
A5053378123,R. Wallny
A5059645286,Robert West
A5064378373,Frederik Barkhof
A5064072134,G. Alverson
A5046737002,M. Bóna
A5052545953,Б. А. Трофимов
A5045624486,Harald Pfeiffer
A5056865783,Matthew McGraw
A5029387280,Mowei Zhou
A5081249912,Myoung Soo Kim
A5108552530,Wei
A5108337108,Y. Wu
A5114376833,G. Gómez
A5049411008,JoAnn E. Manson
A5111248681,Cameron McMillan
A5079571425,Thomas A. Luger
A5047007168,R. W. Moore
A5048196698,Luigi Ferrucci
A5111592118,Yuranga Weerakkody
A5013365638,Ji Hoon Kim
A5038163975,Elizabeth Bush
A5100371271,Sheng Wang
A5110121024,William Lane M. Robson
A5070378593,Philippe Ciais
A5069216829,김동욱
A5100459571,O. González López
A5033717261,O. Schneider
A5074772906,김진호
A5054306814,Marc D. Binder
A5106468531,J. Cuevas
A5108053209,A. Ruiz-Jimeno
A5015190461,Josep Tabernero
A5015524075,Tilman Spohn
A5017534724,H. Castilla-Valdez
A5058470461,B Bernstein
A5041704528,G. N. Taylor
A5060806470,Josef Finsterer
A5022768838,I. Gorelov
A5075323817,B. Yabsley
A5067403270,Alan J. Lough
A5100715629,L. Scodellaro
A5024593161,A. Sánchez-Hernández
A5081316842,Herbert W. Roesky
A5063718436,Jae‐Hoon Kim
A5091070572,Wilbert S. Aronow
A5100342425,L. Xu
A5107390047,F. Canelli
A5109833501,Zhao
A5070191598,김영주
A5100775902,Laurent Maron
A5002310217,James H. Tsai
A5025724032,L. Masetti
A5107276587,B. Hong
A5008404139,张 涛
A5077849176,P. Wittich
A5059681728,Ji Hyun Kim
A5060998599,Whitney Cranshaw
A5083040858,G. Landsberg
A5101814743,Liang Yu
A5017158901,Adrian Furnham
A5048542589,Gerald Kehr
A5084577264,V. Gavrilov
A5005208943,Ping Wang
A5036357902,Philip S. Yu
A5042231804,A. Korytov
A5043059300,G. Lafferty
A5060680432,K. L. Page
A5089471293,Ji Yeon Kim
A5024923217,Saharon Shelah
A5040799512,Eileen Shiuan
A5053336827,Y. Gershtein
A5107211189,Alex Alex
A5070036826,Glen B. Deacon
A5055290893,A. Stahl
A5069451255,Pratha Sah
A5088456575,Kahootz
A5066364056,K. E. Varvell
A5106324687,B. Kilminster
A5110501107,Liang Liang
A5081088505,Narel Y. Paniagua-Zambrana
A5045818888,D. G. Charlton
A5018798138,Eric Tytell
A5028928503,Johannes Brahms
A5106313080,A. Rossi
A5047552541,J.-F. Grivaz
A5054010777,김경희
A5030800645,T. Ferguson
A5100741889,D. Del Re
A5101436495,S. Li
A5106323625,K. Lannon
A5112152010,Not Available Not Available
A5083833040,A. Safonov
A5108010872,R. D’Alessandro
A5100404176,Qing Li
A5030343009,Antonio Colombo
A5100425671,Li Zhang
A5024159880,Nicola Maffulli
A5047427644,Alexander Villinger
A5027213857,John J.V. McMurray
A5100326547,Sung Woo Kim
A5008881437,Wei Zhang
A5025639028,이지영
A5004980433,D. R. Claes
A5028780342,Shi Xue Dou
A5049546780,E. L. Barberio
A5063987582,T. Adams
A5100767580,J. Seixas
A5029242864,Colleen Hui
A5100381911,Qiang Zhang
A5014947618,Anne Glaesener
A5100753969,S. Rahatlou
A5113939991,Zhang
A5100743975,Y. Yang
A5042137089,K. Lim
A5054928610,‬Peter C. Junk
A5100374993,Jianjun Liu
A5100724250,A. Bean
A5051252092,이동훈
A5088055007,G. A. Alves
A5040387221,R. D. Brown
A5019062070,I. M. Mills
A5033009553,M. H. Palmer
A5059976286,D. Wang
A5076831857,E. Niktin
A5079550806,J. E. Boggs
A5080932511,R. Hilderbrandt
A5038667320,Andrzej Katrusiak
A5072119772,Ying Ying
A5101454429,Akihisa Inoue
A5016481421,Muriel Gargaud
A5086365374,김영철
A5030124953,P. Kodyš
A5050614301,Todd K. Shackelford
A5050630882,Licheng Jiao
A5091797706,P. Azzi
A5106426616,F. Šforza
A5012555968,Jay Dunlap
A5041612225,Ernest E. Moore
A5101847617,C. Chen
A5106263427,S. Grinstein
A5107061204,F. J. M. Geurts
A5023684409,Anthony Linden
A5050643059,James L. Nation
A5089725409,Annie Montaut
A5113482040,Liu
A5052819678,L. Li
A5110142954,N. Gehrels
A5074738902,Yehuda Shoenfeld
A5053911734,R. Shane Tubbs
A5100719473,S. Belforte
A5108167662,H. Evans
A5107390071,J. Goldstein
A5050885958,Z. Doležal
A5074750801,Kara Mannor
A5100392071,W. F. Mader
A5100667639,I. Vila
A5100687313,M. Kaur
A5111674449,Richard Mural
A5014328916,M. Shapiro
A5061275811,Владик Крейнович
A5111248680,Margaret Bowman
A5047965868,Paul R. Raithby
A5062364942,Anthony Trollope
A5077298972,H. F-W. Sadrozinski
A5011047964,Tao Li
A5025242443,Mark E. Light
A5063941923,P. Thuéry
A5100773343,Xuemin Shen
A5012704628,김태훈
A5017618655,M. J. White
A5066046510,M. Titov
A5067591881,J. Dittmann
A5108167232,M. Grünewald
A5018976124,Tae-Young Kim
A5094303405,SXS Collaboration
A5026206882,Gideon Koren
A5100600335,G. Hall
A5025182460,Shie‐Ming Peng
A5061102588,E. Thomson
A5062225093,J. Jia
A5100378741,H. J. Yang
A5080921373,David J. Hunter
A5083199032,Vladimir N. Uversky
A5041938298,anon anon
A5000308170,Angela Dispenzieri
A5065758939,Dorothy Wordsworth
A5074788196,Fang Liu
A5100391883,Wei Wang
A5094303384,SXS Collaboration
A5017039765,Y. Yamazaki
A5026175078,William Ewart Gladstone
A5049847263,Vanessa Bailey
A5080142922,S. Majewski
A5106497162,H. P. Beck
A5044329719,Herta Flor
A5046345178,Marc Ladanyi
A5049892384,Ian J. Deary
A5063560980,J. Mueller
A5064121884,Arthur Brant
A5114378139,G. Raven
A5052424875,J. Nielsen
A5076426660,Funda Meric‐Bernstam
A5107560781,E. De La Cruz–Burelo
A5067884516,Mark Scheel
A5051797918,Joel Martin Halpern
A5108166859,E. Shabalina
A5111979738,Wang
